rang,ime,leto,opis,ocena_strani,povprecna_ocena,stevilo_glasov
255,Legendary: A Marvel Deck Building Game,2012,Assemble Marvel&#039;s finest Heroes to combat Masterminds and thwart their Schemes!,7.25,7.53,22718
256,Century: Golem Edition,2017,Snatch up costly crystals and synthesize them to create wondrous golems.,7.249,7.59,12552
257,Fantasy Realms,2017,Build the greatest fantasy kingdom by constructing the best hand.,7.247,7.52,15648
258,Hanamikoji,2013,Win the favor of the geishas through careful speculation and bold moves.,7.245,7.48,18877
259,Deception: Murder in Hong Kong,2014,"Interpret forensic evidence to solve a murder. Beware, the murderer may be among you!",7.244,7.44,22963
260,Camel Up (Second Edition),2018,Place your bets and bend the odds in this crazy camel-stacking race!,7.243,7.58,13397
261,"Unmatched: Battle of Legends, Volume One",2019,Heroes and villains of legend (and their sidekicks) fight to the death.,7.241,7.73,9304
262,MicroMacro: Crime City,2020,Find the small traces to solve the big cases.,7.24,7.49,16341
263,Zombicide: Black Plague,2015,Work together to kill zombies in the Middle Ages! Then kill more zombies!,7.239,7.61,16353
264,Sushi Go Party!,2016,Pass sushi around a bigger table and take the best dishes. Save room for dessert!,7.236,7.39,35673
265,Roll Player,2016,"Draft dice and purchase skills, traits and equipment to create the perfect RPG hero.",7.234,7.44,20769
266,Flamme Rouge,2016,Riders negotiate the peloton and avoid exhaustion in this card-pedaled Tour de Force.,7.234,7.49,18249
267,Hallertau,2020,"Lead a small town: grow hops, improve workshops, and raise wealth to develop further.",7.233,7.88,5991
268,The Princes of Florence,2000,Attract artisans and scholars to your palazzo by building and landscaping.,7.232,7.51,15613
269,Isle of Skye: From Chieftain to King,2015,Build your kingdom as Chieftain one tile at a time and rule all of Scotland!,7.231,7.4,25695
270,John Company: Second Edition,2022,Promise and cajole your way to the top whilst running the East India Company.,7.23,8.3,3732
271,Kanban: Driver's Edition,2014,Car-factory workers optimise and innovate to stand out at the big board meeting.,7.227,7.79,6891
272,Vindication,2018,Reclaim your honor by defeating monsters and gaining heroic attributes.,7.226,7.79,7470
273,Glory to Rome,2005,Build card combos and race to rebuild Rome to become the most influential Patrician.,7.226,7.49,14369
274,Samurai,1998,Dispute the favor of three different castes in order to unite Japan under your rule.,7.225,7.47,16432
275,Santorini,2016,Use different divine powers to build and climb the towers!,7.221,7.36,39180
276,Pulsar 2849,2017,Draft dice to harness the power of pulsars in the gold rush of a new millennium!,7.22,7.66,8977
277,Goa: A New Expedition,2004,Run a spice trade business in colonial-era India in this closed-loop economy game.,7.22,7.56,11538
278,Hero Realms,2016,Compete head-to-head to create the most powerful deck of spells and minions!,7.219,7.51,18345
279,Tapestry,2019,Lead a unique civilization to greatness through cultural and technological advances.,7.219,7.45,20675
280,1830: Railways & Robber Barons,1986,A classic game of managing railroads and investing wisely.,7.218,7.87,5688
281,Western Legends,2018,"Become a gun-toting outlaw, or a law-abiding marshal in this Wild West sandbox.",7.217,7.61,11462
282,Detective: A Modern Crime Board Game,2018,Collaborate in an FBI unit to solve cases using high-tech &amp; traditional techniques.,7.214,7.65,10703
283,Shogun,2006,Gain control of medieval Japan by amassing troops and sending them out to battles.,7.211,7.51,14145
284,Galaxy Trucker,2007,Prepare for unknown dangers by building the best spaceship possible.,7.21,7.34,34412
285,Endless Winter: Paleoamericans,2022,"Settle new lands, grow your population, and build megaliths - in an endless winter.",7.206,7.72,8346
286,Viticulture,2013,"Seasons pass as you develop your vineyard, harvest grapes, make wine and fill orders.",7.204,7.49,14130
287,1960: The Making of the President,2007,Players act as campaign managers in this replay of the 1960 presidential election.,7.204,7.62,9338
288,Chronicles of Crime,2018,"Lay out the case, interrogate suspects, and investigate crime scenes with your phone.",7.203,7.58,22909
289,Anno 1800: The Board Game,2020,Fulfill the wishes of your population by producing ever more luxurious goods.,7.199,7.72,7453
290,Lewis & Clark: The Expedition,2013,"Explorers race from Missouri to Oregon, asking local Native American tribes for help.",7.198,7.45,15732
291,Arkham Horror: The Card Game (Revised Edition),2021,Revised core set repackages the original with support for 1-4p.,7.194,8.65,2850
292,Monikers,2015,This curated version of a classic game is guaranteed to create laughs!,7.192,7.78,6405
293,Steam,2009,Rival railways compete to build networks and maximise profits by transporting goods.,7.192,7.55,10267
294,Bitoku,2021,"Become the next great spirit of the forest, exploring it and helping lost souls.",7.191,7.84,6272
295,Mind MGMT: The Psychic Espionage “Game.”,2021,Psychic rogue agents team up to track down the Recruiter in Zanzibar.,7.19,7.92,5370
296,Bora Bora,2013,Lead the men and women of your tribe to expand and thrive in an island paradise.,7.189,7.56,10308
297,Kingdomino,2016,Build a kingdom with varied terrains on domino-shaped tiles in this fast family game.,7.189,7.31,48298
298,Oath,2021,Change the course of history as empires rise and fall and your tale becomes legend.,7.188,7.79,7649
299,Marvel United,2020,Cooperate as Marvel Heroes to stop the Villains&#039; master plans!,7.187,7.58,11054
300,T.I.M.E Stories,2015,Protect the world from paradoxes with your team of time-traveling agents.,7.185,7.38,27852
301,Battle Line,2000,Mobilize stronger formations to counter the enemy along an ever-changing battle-line.,7.184,7.41,17626
302,Forgotten Waters,2020,Seek fortune and infamy in a fantastical world of piratical misadventure.,7.181,7.81,6192
303,Rococo,2013,Make dresses for a prestigious ball while managing your deck of employees!,7.178,7.58,9102
304,Hive,2001,Use your insects to trap your opponent&#039;s Queen Bee in this board-less abstract game.,7.178,7.32,37636
305,Kemet: Blood and Sand,2021,Play as warring Egyptian Gods and build the most powerful army to dominate Egypt.,7.177,7.97,4885
306,Star Realms: Frontiers,2018,"Expand your fleet, explore new frontiers, and impose your authority over your rivals.",7.176,7.93,5330
307,Dice Throne: Season Two – Battle Chest,2018,A Player Vs Player dice dueling game.,7.176,8.06,4688
308,Cryptid,2018,Be the first to locate the cryptid through pure deduction and subtle deception.,7.175,7.44,14924
309,Tiletum,2022,Use dice for resources and actions to gain riches in the Renaissance.,7.173,7.91,5210
310,Arcadia Quest,2014,Fight against rival guilds and monsters in a campaign to reclaim the city of Arcadia.,7.172,7.61,10507
311,Cthulhu Wars,2015,Armageddon came. Humanity fell. Which Elder God will rule the last remains of Earth?,7.172,7.86,6259
312,Ethnos,2017,Call upon unique fantasy tribes to gain control of the land and earn glory.,7.172,7.46,13670
313,Dixit: Odyssey,2011,Don’t be too vague or precise when describing beautifully surreal art.,7.17,7.4,21346
314,Seasons,2012,Mages compete across twelve seasons to collect crystals and become the new archmage.,7.169,7.35,25283
315,Long Shot: The Dice Game,2022,"Bet, buy horses, and influence jockeys for cash in an exciting 1930&#039;s era horse race.",7.164,7.63,8081
316,Aeon's End: The New Age,2019,Take a crew of mages on Expeditions to face monstrosities from beyond the Breach.,7.161,8.51,2798
317,The Manhattan Project: Energy Empire,2016,"Build power plants, not bombs, in this standalone sequel to The Manhattan Project.",7.161,7.74,6230
318,Skull King,2013,Trick-taking on the high seas. Meet your bid to please the Skull King.,7.157,7.53,10821
319,Imperial,2006,Invest in imperialist powers to extract wealth by industrialization and expansion.,7.157,7.6,8826
320,Arcs,2024,Guide your faction through a fast-playing space opera.,7.157,8.32,3639
321,So Clover!,2021,Work together using one-word clues to disentangle word pairs.,7.156,7.58,8457
322,Indonesia,2005,Produce and ship goods in a dynamic economic ecosystem in the Indonesian archipelago.,7.154,7.88,4748
323,Navegador,2010,Sail around the globe while managing your trade in the Portuguese Colonial Empire.,7.153,7.54,9311
324,Onitama,2014,Assert your martial prowess by harnessing the power of various animal spirits.,7.151,7.35,22613
325,Telestrations,2009,"Guess what they drew, then draw what they guessed, and see how funny the changes get.",7.151,7.38,18557
326,Dungeon Petz,2011,Raise monstrous pets and sell them to demanding Dungeon Lords for fame and fortune.,7.148,7.4,15022
327,Arkham Horror (Third Edition),2018,Piece the clues together to stop the horrors before your sanity shatters.,7.147,7.69,9548
328,Turing Machine,2022,Crack codes using a real analog computer.,7.146,7.69,7200
329,Power Grid Deluxe: Europe/North America,2014,"Manage resources, build networks and supply the most cities with power.",7.144,7.95,4462
330,Lost Cities,1999,"Set out on expeditions, but will your findings outweigh the cost of each adventure?",7.139,7.24,47096
331,Space Alert,2008,"This ship runs itself! Wait, why are our shields down and where did you go? Help us!",7.139,7.39,16149
332,Forest Shuffle,2023,Gather the most valuable trees and attract species to them.,7.138,7.64,7880
333,Age of Empires III: The Age of Discovery,2007,"Send monks, merchants, soldiers, &amp; more to explore, settle, &amp; battle in the New World",7.138,7.51,10330
334,The King's Dilemma,2019,"Leaders join in council to vote on the kingdom’s issues, but with hidden motives!",7.135,7.75,6143
335,For Sale,1997,"What&#039;s your bid? Bid on promising property bundles, then sell properties for checks.",7.134,7.26,31474
336,Imperium: Classics,2021,Compete to become the most dominant empire the world has ever seen!,7.134,7.7,6981
337,Glass Road,2013,"Clear the land, hire specialists, build and gather to make your own trade empire.",7.132,7.43,11853
338,Cat in the Box: Deluxe Edition,2022,Win tricks without knowing the colour of your cards until you play them.,7.132,7.55,8711
339,Imperial Settlers,2014,"Construct buildings, harvest resources, and attack your neighbor!",7.131,7.31,24526
340,Nemo's War (Second Edition),2017,"Sail the Seven Seas as the hardened captain Nemo, fighting the Imperialist powers.",7.129,7.83,5385
341,The Great Zimbabwe,2012,Plot out supply lines and build monuments to impress the African god of your choice.,7.129,7.84,4905
342,Fury of Dracula (Third/Fourth Edition),2015,Dracula is attacking! Or is it a trick while he hides? Track him down to find out.,7.128,7.42,14722
343,Survive: Escape from Atlantis!,1982,"Sharks, whales, and sea monsters, oh my! Hurry and escape before Atlantis disappears!",7.128,7.32,26332
344,Foundations of Rome,2022,"Construct buildings, vie for city lots, and compete to shape the city of Rome.",7.126,8.06,4028
345,Love Letter,2012,Can you get a letter to the princess or remove all your rivals? You win either way!,7.126,7.23,68259
346,Acquire,1963,"Invest, divest, and stage hostile takeovers in this classic real estate game.",7.125,7.35,20697
347,The King Is Dead: Second Edition,2020,A subtle game of shifting power and control over medieval Britain.,7.124,7.64,7154
348,Love Letter,2019,Help sneakily maneuver your love letter to the Princess—or to those closest to her.,7.124,7.52,10687
349,Tikal,1999,"Strategically create pathways through jungle, collect treasure, and excavate temples.",7.124,7.33,20383
350,Summoner Wars: Master Set,2011,Harness the magic! Summon your warrior hordes onto the field of battle.,7.123,7.48,11032
351,Destinies,2021,Characters explore a medieval-fantasy land as they race to fulfill their destiny.,7.122,7.72,8668
352,Century: Spice Road,2017,Grow and trade spices and use them to gain estate.,7.121,7.3,25767
353,Distilled,2023,"Purchase goods, upgrade your distillery, and craft the world&#039;s finest spirits.",7.12,7.84,5371
354,Bunny Kingdom,2017,"Adorable bunnies build cities, harvest carrots, and go on missions to be &quot;Big Ears!&quot;",7.119,7.42,13210
355,Bruges,2013,"Vie for influence, manage threats, build, and employ the unique denizens of the city!",7.119,7.43,11783
356,Imperial 2030,2009,Use money to manipulate countries into warring with each other for your own profit.,7.119,7.64,6917
357,Awkward Guests: The Walton Case,2016,Mr. Walton will be murdered—repeatedly! Uncover the clues to figure out who did it.,7.118,7.58,8429
358,Cloudspire,2019,"Use towers, minions, and heroes to help your faction claim an island in the sky.",7.117,8.18,3716
359,Heaven & Ale,2017,Harvest beer ingredients and master the art of monastic brewcrafting.,7.117,7.54,8646
360,Tiny Epic Galaxies,2015,"Roll your dice and colonize planets, utilizing your energy and culture.",7.115,7.33,20854
361,Runewars,2010,"Build, conquer, gather, recruit, and find runes in the Terrinoth realm.",7.113,7.61,8408
362,Alien Frontiers,2010,Race to develop and colonize the surface of planet Maxwell.,7.113,7.35,15301
363,Sea Salt & Paper,2022,A few delicate Origami-style illustrations and a whole marine universe comes to life!,7.113,7.49,10920
364,Exit: The Game – The Abandoned Cabin,2016,A kind stranger&#039;s invitation becomes a grim trap - can you escape before he returns?,7.109,7.42,11540
365,Chinatown,1999,Negotiate and build the most successful business in all of Chinatown!,7.108,7.43,11542
366,Burgle Bros.,2015,"As part of a heist team, break in, get the loot, and get out without getting caught.",7.104,7.43,11622
367,Summoner Wars (Second Edition),2021,The fight for Itharia is on! Defeat the enemy summoner before they cut yours down.,7.104,8.11,3832
368,Nusfjord,2017,"Use your three workers to clear trees, build a harbor, and fish in northern Norway.",7.104,7.64,6507
369,The Witcher: Old World,2023,"Explore the Continent, upgrade your skills, and fight monsters/witchers for trophies.",7.104,7.98,6194
370,Small World,2009,Control one fantasy race after another to expand quickly throughout the land.,7.103,7.21,71769
371,Above and Below,2015,Build your newly founded village above while exploring the caves and stories below.,7.102,7.36,16269
372,Arboretum,2015,"Build the Arboretum of your dreams, and prevent your rival from building theirs.",7.1,7.29,21083
373,Bonfire,2020,Gnomes struggle to re-ignite mystical bonfires to bring light to their dark planet.,7.1,7.65,6664
374,Dead of Winter: The Long Night,2016,"A new group stands alone against the undead, bandits, and the horrors of Raxxon.",7.099,7.52,10023
375,Merchants & Marauders,2010,Live the life of an influential merchant or a dreaded pirate in the Caribbean.,7.098,7.39,14326
376,Project L,2020,"Fast-paced, tile-matching, engine building game.",7.098,7.49,10023
377,Flamecraft,2022,"In a magical realm a village awakes, and artisan dragons make coffee and cakes!",7.097,7.43,14916
378,Innovation,2010,Guide your civilization with inventions from the stone age through to the modern era.,7.097,7.3,18762
379,Raiders of Scythia,2020,Raid and plunder your way through ancient empires on horseback.,7.096,7.75,5743
380,Neuroshima Hex! 3.0,2006,"Battle robots, gangs, and more in tactical post-apocalyptic warfare.",7.096,7.39,15160
381,Wayfarers of the South Tigris,2022,"Explore the waterways, map the land, and chart the stars in medieval Baghdad.",7.096,7.83,4885
382,Tekhenu: Obelisk of the Sun,2020,"As the Obelisk&#039;s shadow moves, use dice to build Ipet-Isut and the temple of Amun-Ra.",7.095,7.71,5915
383,Antiquity,2004,Achieve your civilization’s goal before being overwhelmed by famine and pollution.,7.095,7.84,4506
384,Bärenpark,2017,Build a bear park on personal boards by carefully placing polyominoes.,7.093,7.29,19248
385,Mission: Red Planet (Second Edition),2015,"Launch your rockets, sabotage the competition as you vie to control Mars.",7.092,7.4,11619
386,Sid Meier's Civilization: The Board Game,2010,"Lead your civilization to greatness in military, arts, science or economy.",7.091,7.38,15977
387,Letters from Whitechapel,2011,Slip away as Jack the Ripper or track his hidden movement as a team of investigators.,7.088,7.35,16214
388,Dungeon Lords,2009,Prepare your dungeon. Set evil traps. Release your monsters. Stop the good guys.,7.088,7.36,13994
389,Furnace,2020,19th century capitalists manipulate the market and manage their industrial empires.,7.087,7.41,11096
390,Dixit,2008,Give the perfect clue so most (not all) players guess the right surreal image card.,7.086,7.2,65464
391,Gizmos,2018,Gather energy marbles to build gizmos parts and trigger chain reactions and combos.,7.086,7.38,13024
392,BattleLore: Second Edition,2013,Fantasy Command &amp; Colors spiced up with magic.,7.085,7.68,6419
393,Sidereal Confluence,2017,"Nine alien races wheel, deal, plan, and develop to be the best leader of the galaxy.",7.085,7.78,5172
394,Harry Potter: Hogwarts Battle,2016,Battle for the fate of the Wizarding World over your 7 years at Hogwarts.,7.079,7.37,19627
395,Takenoko,2011,Carefully cultivate a bamboo garden with the help of a gardener and a hungry panda.,7.078,7.21,45129
396,Ginkgopolis,2012,Build upwards as well as outwards to control the most buildings in a future eco-city.,7.077,7.5,8098
397,Mysterium,2015,Become a psychic and divine spectral visions to solve the murder of a restless ghost.,7.074,7.21,44672
398,Apiary,2023,"Hyper-intelligent bees take to outer space to build, explore, and grow.",7.074,7.83,4920
399,Ghost Stories,2008,Warrior monks work together to save the village from the evil Wu-Feng and his ghosts.,7.073,7.27,21385
400,Lords of Hellas,2018,"Honor the Gods, build temples, defeat monsters, and establish supremacy over Hellas.",7.072,7.65,7368
401,Mindbug: First Contact,2022,"Serve the Mindbug, summon hybrids, and mind-control your opponent&#039;s best cards.",7.072,7.68,6514
402,The Resistance,2009,Assign operatives to missions while avoiding enemy spies.,7.069,7.21,41097
403,Marvel United: X-Men,2021,Co-operate as Marvel Heroes to stop the Villains&#039; master plans!,7.069,8.05,3740
404,Agricola: All Creatures Big and Small,2012,Breed animals and expand your small farm in this two player version of the original.,7.068,7.33,13835
405,51st State: Master Set,2016,"Build, deal and raise your state out of the ashes of the apocalypse.",7.068,7.6,6973
406,Star Wars: Armada,2015,"Form your fleet, plan a strategy, and execute it with your commands.",7.067,7.82,5511
407,San Juan,2004,Cards have multiple potential uses -- choose wisely to build the city.,7.066,7.23,23887
408,Hannibal: Rome vs. Carthage,1996,Card driven strategic and political struggle between Ancient Rome and Carthage.,7.065,7.78,5026
409,Carpe Diem,2018,"Build villas and lands to produce gold, bread and goods in ancient Rome.",7.063,7.51,7888
410,Abyss,2014,"Control factions, influence the court and reign over underwater realms!",7.063,7.33,15172
411,Maria,2009,Maneuver martially and politically in this 3 player War of the Austrian Succession.,7.062,7.99,3691
412,Blood Bowl: Team Manager – The Card Game,2011,Coach your “fantasy” football team and gather most fans to win.,7.062,7.4,11486
413,Altiplano,2017,Bag building in the highlands of Peru.,7.061,7.46,9189
414,Unmatched: Robin Hood vs. Bigfoot,2019,The big beast and the wily rogue fight to see who&#039;s king of the forest.,7.06,7.93,4277
415,Newton,2018,Action selection and hand management in the age of enlightenment.,7.059,7.54,7225
416,"Air, Land & Sea",2019,Submit orders on three fronts to outwit and outmatch your military opponent.,7.058,7.47,8587
417,Pax Renaissance: 2nd Edition,2021,Become the most influential banker and pull the strings that decide Europe&#039;s future.,7.053,8.49,2445
418,Smartphone Inc.,2018,Success is measured in money as you build your global smartphone empire.,7.053,7.58,6400
419,Schotten Totten,1999,"Place your kilted clansmen, control stones, expand territory &amp; foil the rival clan.",7.052,7.35,11900
420,Notre Dame,2007,Improve the area around Notre Dame Cathedral to earn prestige for your family.,7.052,7.31,13428
421,Fall of Rome,2018,Will you be strong enough to protect the Imperium from the Barbarians?,7.051,7.62,6338
422,The Pillars of the Earth,2006,"Produce, craft, and recruit to build a cathedral in this classic worker placement.",7.051,7.26,17968
423,Twice as Clever!,2019,"Roll colorful dice, choosing just one each roll to combo bonuses and points!",7.05,7.44,9116
424,Dead Reckoning,2022,Card Crafting meets 4X! Sail the high seas and choose your path to victory!,7.05,8.19,3145
425,Mage Wars Arena,2012,Fight to the death as a powerful mage in this game of deep strategy and decisions!,7.049,7.57,7902
426,Gùgōng,2018,"Exchange gifts, send servants, and visit the Emperor in a luscious 1570 China.",7.047,7.44,9029
427,At the Gates of Loyang,2009,Harvest crops and fulfill orders to become the most prosperous merchant.,7.045,7.36,11252
428,Frostpunk: The Board Game,2022,A city-survival game where heat means life and every decision comes with a cost.,7.043,8.24,3341
429,The Godfather: Corleone's Empire,2017,Reach the top of the cut-throat mob world...all others sleep with the fishes.,7.041,7.53,7786
430,Saint Petersburg,2004,"Hire craftsmen, pay for buildings, snag noblemen as you compete for rubles and glory.",7.04,7.27,16113
431,The Guild of Merchant Explorers,2022,"Explore strange lands, establish trade routes, and search for treasure.",7.036,7.7,4967
432,Dorfromantik: The Board Game,2022,Experience the peaceful and relaxed atmosphere of the video game on your table.,7.034,7.64,6066
433,Downforce,2017,"Auction, bet, race! You can lose the race and still win the game.",7.03,7.29,14040
434,Die Macher,1986,Players represent political parties attempting to gain power in Germany.,7.029,7.59,5824
435,King of Tokyo,2011,Prove your dominance by destroying Tokyo or by being the last monster left standing.,7.029,7.13,71401
436,Arkham Horror,2005,Work as a team to save the town of Arkham from monsters and a Great Old One.,7.028,7.24,39623
437,Endeavor,2009,"Spread your glory over the vast, as of yet unexplored world.",7.025,7.38,9561
438,Honey Buzz,2020,Bees have discovered economics! Make and sell honey to get money and win!,7.023,7.57,6626
439,Blitzkrieg!: World War Two in 20 Minutes,2019,Deploy units in different theaters of combat to win WW2.,7.022,7.59,5896
440,In the Year of the Dragon,2007,Choose and manage your workers to protect your palaces from a series of disasters.,7.022,7.3,12168
441,Ticket to Ride: Märklin,2006,Build railroad routes across Germany to try to connect valuable destinations.,7.022,7.41,9220
442,Expeditions,2023,Venture to the dangerous north in this tile-exploration sequel to Scythe.,7.022,7.67,5746
443,Dice Forge,2017,Control luck itself! Choose to forge improved dice or complete quests for rewards.,7.021,7.23,22288
444,Skull,2011,"Does the token hide a flower or skull? Bid, bluff and laugh with striking components.",7.021,7.19,24317
445,Tiny Towns,2019,Plan well as you build your town one building at a time. Will it fit?,7.021,7.22,19760
446,Evolution: Climate,2016,"Adapt your species in an ecosystem of scarce food, predators, and a dynamic climate!",7.018,7.48,8102
447,London (Second Edition),2017,"Draft cards, avoid debt, and run your industrial engine to rebuild London.",7.018,7.5,7047
448,Azul: Stained Glass of Sintra,2018,Create beautiful windows with coloured glass more efficiently than anyone else.,7.017,7.3,13685
449,Cubitos,2021,Race for the glory of the Cube Cup in this exciting game of luck and strategy!,7.016,7.41,8999
450,IKI,2015,"Hire artisans, set them up in the market and acquire prestige in feudal Japan.",7.015,7.65,5485
451,Chess,1475,Checkmate your opponent in this timeless abstract.,7.015,7.21,37054
452,Bruxelles 1893,2013,Manage your workers to help usher in a new era of culture and progress in Brussels.,7.015,7.6,5600
453,Here I Stand,2006,Europe in conflict during the Protestant Reformation of the early 16th century.,7.014,7.88,3923
454,San Juan (Second Edition),2014,"As you build up San Juan, carefully choose how to use the multi-use cards you have.",7.014,7.45,7460
455,The Lord of the Rings: The Card Game – Revised Core Set,2022,Revised core set repackages the original with support for 1-4p and a new campaign.,7.013,8.49,2598
456,King of Tokyo: Dark Edition,2020,Fight for dominance in this upgraded pulp edition of a dice-rolling monster battle.,7.01,7.68,5445
457,Codenames: Pictures,2016,"Give your team one-word coded clues, trying to identify specific image cards.",7.01,7.18,23016
458,Mythic Battles: Pantheon,2017,Gather your team from the vast Greek pantheon and fight to the death!,7.01,8.32,3292
459,Akropolis,2022,Build your Greek city on multiple levels to keep your districts perfectly placed.,7.009,7.49,7409
460,Descent: Legends of the Dark,2021,An app-driven dungeon crawl set in the world of Terrinoth.,7.009,7.94,4875
461,Boonlake,2021,"Build, raise cattle, expand and explore in a fictional Western US region.",7.008,7.66,5120
462,Spartacus: A Game of Blood and Treachery,2012,"Barter, buy, bid, deceive, and fight your way to become the dominant dominus in Rome.",7.008,7.47,8979
463,Civilization,1980,Expand and develop your historical empire while trading with competing civilizations.,7.008,7.49,7550
464,Firefly: The Game,2013,Find a crew. Find a job. Keep flying. Cross the &#039;verse to complete jobs and get paid.,7.006,7.39,12137
465,Cartographers Heroes,2021,Explore new lands and chart the deeds of brave heroes who defeat monsters.,7.005,7.75,4546
466,Biblios,2007,"Amass the greatest library of sacred texts, using your wits and meager gold supply.",7.005,7.2,17791
467,Sword & Sorcery,2017,Heroes are resurrected to face dark forces and ancient evil assaulting Talon Coast.,7.002,7.89,5046
468,Wavelength,2019,Read your teammates’ minds in this pinpoint party game of infinite possibilities.,7.001,7.27,14002
469,Santa Maria,2017,Build and maximize your polyomino colony in the New World.,7.0,7.48,7031
470,Sherlock Holmes Consulting Detective: Jack the Ripper & West End Adventures,2016,"Help Sherlock Holmes investigate the notorious serial killer, Jack the Ripper.",7.0,7.59,6074
471,Marrakesh,2022,Influential families react to the whims of the cube tower to gain power in the city.,6.998,8.16,2843
472,Space Hulk (Third Edition),2009,Space Marines combat Genestealers in the cramped corridors of a derelict spaceship.,6.996,7.53,7147
473,Sprawlopolis,2018,Build the best metropolis by following the planning rules with this 18-card deck.,6.995,7.31,10979
474,Thunder Road: Vendetta,2023,Crews race and shoot to be the last car standing.,6.994,7.96,3483
475,Fresco,2010,Buy and mix paints to restore the Renaissance fresco and earn the Bishop&#039;s favor.,6.993,7.25,13224
476,Clash of Cultures,2012,Lead your civilization from a single settlement to a mighty empire.,6.993,7.57,5814
477,Millennium Blades,2016,Play as players who are playing the greatest CCG in the universe.,6.993,7.67,5157
478,Nippon,2015,Build an industrial empire out of a small business during Japan&#039;s Meiji period.,6.991,7.63,4973
479,Pan Am,2020,Triumph in the golden age of air travel.,6.991,7.54,6392
480,Stockpile,2015,"Bid, buy and sell stocks in this hidden-information game.",6.989,7.45,7259
481,Thunderstone Quest,2018,"Recruit powerful heroes, arm your party and dungeon delve for Thunderstone Shards!",6.989,7.76,4501
482,Macao,2009,"Deliver goods, build the city and your tableau using a unique dice selection method.",6.987,7.41,7509
483,Imperial Struggle,2020,"France and Britain clash globally over trade, influence and territory in the 1700s.",6.987,8.25,2805
484,Flash Point: Fire Rescue,2011,Smoke! Fire! Work as a team to save as many as you can from a blazing inferno.,6.986,7.16,24413
485,Dune,1979,"Use unique strengths, treachery, and cunning to gain control of the Spice.",6.985,7.59,5902
486,The Great Wall,2021,Control medieval Clans in China trying to resist invading Mongol hordes.,6.984,7.85,4312
487,Claustrophobia,2009,Fight for glory and redemption against endless waves of Hell&#039;s minions.,6.984,7.47,7069
488,Mice and Mystics,2012,"After being turned into mice, a prince and his allies experience giant-sized stories.",6.983,7.23,19717
489,Kingsburg,2007,"Grow your realm, influence members of the King&#039;s court and fight the forces of winter",6.983,7.17,19762
490,Ready Set Bet,2022,"Head to the races for a day of cheering, jeering, and betting!",6.982,7.58,5504
491,Mandala,2019,Create and destroy mandalas in this beautifully tense abstract game for two.,6.981,7.49,6259
492,Commands & Colors: Napoleonics,2010,"Play several battles of the Napoleonic era, with a simple card driven system.",6.98,8.05,3288
493,Advanced Squad Leader,1985,Play through historical scenarios in this exhaustive squad-level WWII game system.,6.979,8.01,3859
494,Imperium: Legends,2021,Compete to become the most dominant empire the world has ever seen!,6.979,7.86,3903
495,The Manhattan Project,2012,Help your nation gain the best arsenal of atomic bombs.,6.978,7.32,9947
496,Lord of the Rings: The Confrontation,2005,Get Frodo to Mordor Stratego-style before shadow overtakes him.,6.976,7.49,6466
497,PitchCar,1995,Flick disks around a wooden race track that you can customize out of the box!,6.975,7.27,11102
498,Black Orchestra,2016,Team up to conceive and enact a plot to assassinate Hitler.,6.974,7.5,6596
499,Reign of Cthulhu,2016,"Close portals, shut down cultists, and stave off insanity before an Old One awakens.",6.971,7.36,10399
500,Heroscape Master Set: Rise of the Valkyrie,2004,Distant worlds collide through time and space to battle on 3D landscapes of Valhalla.,6.971,7.45,8295
501,Woodcraft,2022,"Grow trees, gather wood and other materials, craft items and build the best workshop!",6.971,7.65,4889
502,Pipeline,2019,"Run a refinery and compete against other players to purchase, refine, and sell oil.",6.969,7.59,5141
503,Middara: Unintentional Malum – Act 1,2019,Coop dungeon crawler in unusual fantasy setting with massive campaign and storyline.,6.969,8.59,2544
504,Glen More,2010,Clan chiefs compete for glory and profit in the Scottish Highlands.,6.966,7.3,9319
505,Lancaster,2011,Position your knights to gain influence and power to strengthen and grow your kingdom,6.966,7.39,7568
506,The LOOP,2020,Legendary Agents team up to fight the Evil Dr. Faux through time.,6.966,7.74,4483
507,A Few Acres of Snow,2011,Colonize and fight for domination in the 17th-18th Century French and Indian Wars.,6.965,7.37,7995
508,Quadropolis,2016,Send out your architects. Plan carefully as you build a bustling metropolis.,6.961,7.23,13092
509,Imperial Settlers: Empires of the North,2019,Lead one of 6 asymmetric factions to build an empire and conquer new islands.,6.961,7.42,7454
510,Fire in the Lake,2014,"Play as the USA, VC, ARVN, or NVA to control Vietnam in COIN:Volume IV.",6.96,8.07,3001
511,Libertalia: Winds of Galecrest,2022,"Diverse pirate-animal crews take to the skies, dividing up powerful loot.",6.958,7.48,6423
512,Black Rose Wars,2019,Cast spells and combat other mages to become ruler of a mysterious lodge.,6.957,7.96,3870
513,Hadara,2019,Employ citizens with a variety of skills to make your civilization thrive.,6.957,7.4,7359
514,Colt Express,2014,This is a train robbery! Will you leave with the loot or a bunch of bullet holes?,6.957,7.09,32679
515,Dawn of the Zeds (Third Edition),2016,Defend Farmingdale against the zombie horde.,6.956,8.16,2814
516,Caper: Europe,2022,Three heists. Two rivals. One criminal mastermind will rise to the top.,6.956,7.7,4359
517,No Thanks!,2004,"Take a card, pay to say no thanks or take what you must to score the least.",6.955,7.08,27660
